계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-물리,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-물리,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-물리,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-물리,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전필-물리,복선-물리/부선-물리,,2150907701,기초물리응용1,,EL+,,이동렬,물리학과,1.0/1.0,0,50,목 13:00-13:50 (조만식기념관 12311-이동렬),1학년 물리
,전기-물리,복선-물리/부선-물리,,2150387301,물리1및실험,,,,"정진석
소재필",물리학과,4.0/3.0,0,25,"화 09:00-09:50 (숭덕경상관 02318-소재필)
화 10:00-10:50 (숭덕경상관 02318-소재필)
화 11:00-11:50 (조만식기념관 12214-정진석)
화 12:00-12:50 (조만식기념관 12214-정진석)",1학년 물리
,전기-물리,복선-물리/부선-물리,,2150387302,물리1및실험,,,,"이동렬
소재필",물리학과,4.0/3.0,0,25,"화 09:00-09:50 (숭덕경상관 02318-소재필)
화 10:00-10:50 (숭덕경상관 02318-소재필)
화 11:00-11:50 (조만식기념관 12215 (물리실험실)-이동렬)
화 12:00-12:50 (조만식기념관 12215 (물리실험실)-이동렬)",1학년 물리
,전기-물리,복선-물리/부선-물리,,2150642401,미적분학1,,,,이은주,물리학과,3.0/3.0,0,45,"수 09:00-10:15 (숭덕경상관 02317-이은주)
금 10:30-11:45 (숭덕경상관 02317-이은주)",1학년 물리 (대상외수강제한)(대상외수강제한)
,전기-물리,복선-물리/부선-물리,,2150312301,화학1및실험,,,,"장병하
강원철",물리학과,4.0/3.0,0,25,"목 09:00-09:50 (베어드홀 01213 (일반화학실험실)-강원철)
목 10:00-10:50 (베어드홀 01213 (일반화학실험실)-강원철)
목 11:00-11:50 (미래관 20402-장병하)
목 12:00-12:50 (미래관 20402-장병하)",1학년 물리
,전기-물리,복선-물리/부선-물리,,2150312302,화학1및실험,,,,"남궁미옥
장병하",물리학과,4.0/3.0,0,25,"목 09:00-09:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)
목 10:00-10:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)
목 11:00-11:50 (미래관 20402-장병하)
목 12:00-12:50 (미래관 20402-장병하)",1학년 물리
,전기-물리,,,2150329702,미적분학1,,영어, (공통-재수강),송윤정,수학과,3.0/3.0,0,40,"수 09:00-10:15 (숭덕경상관 02108-송윤정)
금 09:00-10:15 (조만식기념관 12311-송윤정)","2학년 수학, 물리, 화학, 통계보험, 의생명시스템
3학년 수학, 물리, 화학, 통계보험, 의생명시스템
4학년 수학, 물리, 화학, 통계보험, 의생명시스템
5학년 수학, 물리, 화학, 통계보험, 의생명시스템"
,전선-물리,복선-물리/부선-물리,,2150169601,수리물리1,,,,김희상,물리학과,3.0/3.0,0,40,"월 15:00-16:15 (미래관 20107-김희상)
수 13:30-14:45 (미래관 20107-김희상)",2학년 물리
