계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-전기,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전기,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전기,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전기,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전기-전기,복선-전기/부선-전기,,5010197901,공학물리1,가,,,이향범,전기공학부,3.0/3.0,0,40,"수 09:00-10:15 (안익태기념관 04404-이향범)
목 15:00-16:15 (형남공학관 05113-이향범)",1학년 전기
,전기-전기,복선-전기/부선-전기,,5010197902,공학물리1,나,,,강대승,전기공학부,3.0/3.0,0,40,"화 13:30-14:45 (형남공학관 05322 (임경희강의실)-강대승)
목 12:00-13:15 (문화관 03206-강대승)",1학년 전기
,전기-전기,복선-전기/부선-전기,,5010197903,공학물리1,다,,,강대승,전기공학부,3.0/3.0,0,40,"화 15:00-16:15 (형남공학관 05322 (임경희강의실)-강대승)
목 13:30-14:45 (문화관 03206-강대승)",1학년 전기
,전기-전기,복선-전기/부선-전기,,5010199401,공학수학1,가,,,변진규,전기공학부,3.0/3.0,0,40,"목 12:00-13:15 (형남공학관 05113-변진규)
금 13:30-14:45 (안익태기념관 04404-변진규)",1학년 전기
,전기-전기,복선-전기/부선-전기,,5010199402,공학수학1,나,,,정달영,전기공학부,3.0/3.0,0,40,"월 15:00-16:15 (미래관 20308-정달영)
금 13:30-14:45 (문화관 03309-정달영)",1학년 전기
,전기-전기,복선-전기/부선-전기,,5010199403,공학수학1,다,,,손정숙,전기공학부,3.0/3.0,0,40,"월 15:00-16:15 (문화관 03309-손정숙)
금 13:30-14:45 (문화관 03208-손정숙)",1학년 전기
,전선-전기,복선-전기/부선-전기,,5010193301,기초프로그래밍,가,,,문원식,전기공학부,3.0/3.0,0,40,"화 09:00-10:15 (문화관 03309-문원식)
수 12:00-13:15 (안익태기념관 04404-문원식)",1학년 전기
,전선-전기,복선-전기/부선-전기,,5010193302,기초프로그래밍,나,,,문원식,전기공학부,3.0/3.0,0,40,"월 09:00-10:15 (형남공학관 05322 (임경희강의실)-문원식)
목 13:30-14:45 (조만식기념관 12326 (조해자강의실)-문원식)",1학년 전기
,전선-전기,복선-전기/부선-전기,,5010193303,기초프로그래밍,다,,,문원식,전기공학부,3.0/3.0,0,40,"수 09:00-10:15 (형남공학관 05B124-문원식)
목 12:00-13:15 (조만식기념관 12208-문원식)",1학년 전기
,전선-전기,복선-전기/부선-전기,,2150590601,고급공학수학1,가,,,김기백,전기공학부,3.0/3.0,0,40,"월 12:00-13:15 (문화관 03206-김기백)
화 15:00-16:15 (문화관 03206-김기백)",2학년 전기
,전선-전기,복선-전기/부선-전기,,2150590602,고급공학수학1,나,,,김기백,전기공학부,3.0/3.0,0,40,"월 13:30-14:45 (문화관 03206-김기백)
목 15:00-16:15 (문화관 03206-김기백)",2학년 전기
,전선-전기,복선-전기/부선-전기,,2150590603,고급공학수학1,다,,,김선제,전기공학부,3.0/3.0,0,40,"월 16:30-17:45 (문화관 03206-김선제)
수 12:00-13:15 (형남공학관 05321 (조춘구강의실)-김선제)",2학년 전기
,전선-전기,복선-전기/부선-전기,,2150461201,고급프로그래밍,,,,김기백,전기공학부,3.0/3.0,0,40,"화 10:30-11:45 (형남공학관 05320 (공대실습실)-김기백)
목 16:30-17:45 (문화관 03206-김기백)",2학년 전기
,전기-전기,,,5006762501,기초공학수학1,,, (공통-재수강),이상욱,수학과,3.0/3.0,0,40,"화 13:30-14:45 (백마관 07218-이상욱)
금 13:30-14:45 (진리관 11516-이상욱)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전기-전기,,,5006762502,기초공학수학1,,, (공통-재수강),최현주,수학과,3.0/3.0,0,40,"월 15:00-16:15 (교육관 06302-최현주)
목 15:00-16:15 (베어드홀 01103-최현주)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전필-전기,복필-전기/부선-전기,,2150355501,기초전기전자실험,가,,,박종후,전기공학부,3.0/1.0,0,22,"목 09:00-10:15 (형남공학관 05518-박종후)
목 10:30-11:45 (형남공학관 05518-박종후)",2학년 전기
,전필-전기,복필-전기/부선-전기,,2150355502,기초전기전자실험,나,,,양준현,전기공학부,3.0/1.0,0,22,"금 10:30-11:45 (형남공학관 05518-양준현)
금 12:00-13:15 (형남공학관 05518-양준현)",2학년 전기
,전필-전기,복필-전기/부선-전기,,2150355503,기초전기전자실험,다,,,양준현,전기공학부,3.0/1.0,0,22,"금 15:00-16:15 (형남공학관 05518-양준현)
금 16:30-17:45 (형남공학관 05518-양준현)",2학년 전기
,전필-전기,복필-전기/부선-전기,,2150355504,기초전기전자실험,라,,,양준현,전기공학부,3.0/1.0,0,22,"목 13:30-14:45 (형남공학관 05518-양준현)
목 15:00-16:15 (형남공학관 05518-양준현)",2학년 전기
,전필-전기,복필-전기/부선-전기,,2150355505,기초전기전자실험,마,,,이춘구,전기공학부,3.0/1.0,0,22,"수 13:30-14:45 (형남공학관 05518-이춘구)
수 15:00-16:15 (형남공학관 05518-이춘구)",2학년 전기
,전필-전기,복필-전기/부선-전기,,2150355506,기초전기전자실험,바,,,이춘구,전기공학부,3.0/1.0,0,22,"화 15:00-16:15 (형남공학관 05518-이춘구)
화 16:30-17:45 (형남공학관 05518-이춘구)",2학년 전기
,전선-전기,복선-전기/부선-전기,,2150552901,디지털시스템,가,영·한혼합,,윤성국,전기공학부,3.0/3.0,0,40,"월 13:30-14:45 (문화관 03309-윤성국)
목 15:00-16:15 (형남공학관 05322 (임경희강의실)-윤성국)",2학년 전기
